FID,OBJECTID,EXPEDIENTE,T_PROCESO,NOMBRE,OBSERV,ID_PROC_PT,COOR_ESTE,COOR_NORTE,Georrefere,Fecha,Sitio,Vereda,Georrefe_1,Orientacio,Orientac_1,Cobertura,Curvatura,Distancia_,Distancia1,Distanci_1,DTM,Geologia,Geomorfolo,NDVI,Orientac_2,Rugosidad,Slope,TPI,UGS
45,818, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d28-IS,"4,524,952.710500000000000","1,693,751.478799999900000",Ubicado,21/01/1971,crr 19 con calle 27, ,Ubicado,0.000000000000000,0.000000000000000,1,-0.1045310,821.6790161,"2,291.3200684",225.0000000,"2,597.5600586",7,14,0.0750806,280.8330078,188,3.3832400,-8.3857403,40
46,819, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d29-IS,"4,519,571.782499999700000","1,684,911.968200000000000",Ubicado,23/03/1971,Vía Pasto - Ipiales, ,Ubicado,0.000000000000000,0.000000000000000,11,-2.2692201,25.0000000,"2,070.0600586",45.0694008,"2,961.8898926",4,69,0.0794121,136.9819946,100,21.8885002,-25.3269005,42
47,820, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d30-IS,"4,524,839.144899999700000","1,702,228.216100000100000",Ubicado,5/11/1971,Via Pasto-Popayan  Km 164   165  203 y 204., ,Ubicado,0.000000000000000,0.000000000000000,12,1.6979700,103.0780029,"2,575.0300293",75.0000000,"2,422.5000000",7,52,0.5224580,9.2142200,197,48.9337006,10.5172997,8
48,821, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d31-IS,"4,520,531.101400000000000","1,685,646.503300000000000",Ubicado,3/11/1972,Via Pasto-Ipiales  Km 33 y 34, ,Ubicado,0.000000000000000,0.000000000000000,9,0.3559380,185.8260040,"1,895.1400146",35.3553009,"2,920.6398926",4,68,0.0692371,80.6144028,166,6.9200501,8.1489296,35
49,822, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d32-IS,"4,517,017.463299999900000","1,685,503.371400000100000",Ubicado,4/03/1975,Via Panamericana sector Pasto-Ipiales Km. 116, ,Ubicado,0.000000000000000,0.000000000000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0.0000000,0.0000000,0,0.0000000,0.0000000,0
50,823, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d33-IS,"4,533,700.474299999900000","1,688,509.190200000100000",Ubicado,8/03/1975,Via Pasto-Mocoa, ,Ubicado,0.000000000000000,0.000000000000000,14,-0.4098440,170.0180054,826.2299805,79.0569000,"3,173.0100098",7,10,0.0810258,20.8008995,193,15.0726995,7.6149902,43
51,824, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d34-IS,"4,542,868.089700000400000","1,685,404.480500000100000",Ubicado,28/06/1975,Vía que comunica a Pasto con Putumayo, ,Ubicado,0.000000000000000,0.000000000000000,20,0.6395310,0.0000000,"1,285.7399902",76.0345001,"3,090.6298828",7,8,0.1272360,203.7120056,161,12.7047005,-15.1335001,3
52,825, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d35-IS,"4,520,155.495699999900000","1,685,301.494299999900000",Ubicado,7/07/1975,Vía Pasto-Ipiales, ,Ubicado,0.000000000000000,0.000000000000000,6,-0.3200000,297.1220093,"2,028.0799561",39.5284996,"2,927.5000000",4,68,0.0657849,159.2720032,149,9.7602501,-5.9433599,35
53,826, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d36-IS,"4,521,510.060300000000000","1,685,958.058400000000000",Ubicado,18/07/1975,Via  Pasto-Ipiales. Sitio la Humeadora, ,Ubicado,0.000000000000000,0.000000000000000,16,-1.9800000,12.5000000,"2,100.9699707",184.5599976,"2,840.0000000",4,69,0.3275580,97.6496964,149,10.8992004,-13.4520998,42
54,827, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d37-IS,"4,543,668.426799999500000","1,685,164.592200000100000",Ubicado,15/09/1976,Vía a Sibundoy, ,Ubicado,0.000000000000000,0.000000000000000,12,-0.6575000,134.6289978,"1,145.9799805",25.0000000,"3,233.0600586",7,68,0.1567930,283.1610107,201,8.7538605,2.7348599,43
55,828, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d38-IS,"4,524,454.442200000400000","1,692,160.726199999900000",Ubicado,7/02/1977,Planta de tratamiento El Centenario, ,Ubicado,0.000000000000000,0.000000000000000,1,-0.0000000,37.5000000,"1,375.0000000",62.5000000,"2,525.0000000",7,70,0.0528987,-1.0000000,180,0.0000000,-5.2338901,43
56,829, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d39-IS,"4,528,382.960900000300000","1,690,720.363799999900000",Ubicado,9/07/1980,KM 12 DE LA CARRETERA AL ORIENTE, ,Ubicado,0.000000000000000,0.000000000000000,3,-0.6085940,67.3145981,"2,059.6201172",0.0000000,"2,675.0000000",7,15,0.0660584,344.2300110,210,12.7461996,-5.7600098,40
57,830, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d40-IS,"4,522,477.756299999500000","1,692,783.814400000000000",Ubicado,13/05/1981,Carretera Panamericana, ,Ubicado,0.000000000000000,0.000000000000000,3,0.0792188,638.8469849,"3,130.6201172",0.0000000,"2,554.1699219",23,64,0.0971130,92.9924011,162,6.8799200,-0.4335940,47
58,831, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d41-IS,"4,518,978.645100000300000","1,696,494.488700000100000",Ubicado,19/05/1981,km 22 V. Panamericana, ,Ubicado,0.000000000000000,0.000000000000000,3,0.2432810,35.3553009,810.5750122,0.0000000,"2,559.0000000",7,62,0.3071990,315.0790100,250,33.9211998,-23.8367004,43
59,832, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d42-IS,"4,520,408.745199999800000","1,695,785.296700000100000",Ubicado,2/06/1981,Vía Panamericana, ,Ubicado,0.000000000000000,0.000000000000000,11,-2.7126601,141.4210052,425.0000000,17.6777000,"2,526.6298828",7,62,0.3281210,84.3263016,93,31.6674995,-9.3183603,8
60,833, ,"40,000.000000000000000","40,210.000000000000000",DESINVENTAR,AVRP-d43-IS,"4,524,880.406999999700000","1,702,275.257900000100000",Ubicado,15/06/1981,V.al Aeropuerto (km 25), ,Ubicado,0.000000000000000,0.000000000000000,12,-0.8640620,37.5000000,"2,625.0300293",35.3553009,"2,375.2900391",7,52,0.4904930,330.9949951,229,20.4962006,-39.9147987,8
